walk
Frame 0
273.248		230.809		3779		2		0
273.667		200.145		3748		2		0
274.186		169.875		3834		2		0
277.091		155.392		3720		2		0
258.356		179.519		3818		2		0
250.463		206.957		3887		2		0
248.289		230.136		3820		2		0
248.71		234.104		3810		2		0
290.162		181.606		3851		2		0
296.046		208.483		3906		2		0
299.399		231.128		3843		2		0
297.922		235.732		3834		2		0
265.872		230.495		3783		2		0
263.906		270.089		3847		2		0
267.747		304.751		3927		2		0
270.22		314.914		3932		2		0
280.612		231.14		3789		2		0
281.171		269.911		3879		2		0
276.921		305.694		3922		2		0
276.602		315.927		3828		2		0
274.045		177.412		3813		2		0
248.501		239.501		3819		2		0
252.921		235.156		3844		2		0
298.182		243.255		3848		2		0
294.999		236.461		3878		2		0
Frame 1
273.246		230.809		3750		2		0
273.667		200.144		3743		2		0
274.187		169.875		3840		2		0
277.105		155.421		3714		2		0
258.377		179.541		3817		2		0
250.583		206.468		3890		2		0
248.019		229.772		3821		2		0
248.271		234.328		3810		2		0
290.157		181.655		3834		2		0
296.012		208.526		3911		2		0
299.26		231.205		3834		2		0
297.653		235.859		3823		2		0
265.872		230.492		3775		2		0
263.644		269.251		3825		2		0
267.756		304.69		3914		2		0
270.148		314.872		3954		2		0
280.594		231.139		3789		2		0
281.141		269.96		3857		2		0
276.668		306.259		3915		2		0
276.334		316.37		3853		2		0
274.046		177.412		3805		2		0
248.26		239.45		3830		2		0
252.126		235.251		3884		2		0
297.5		243.501		3837		2		0
294.651		236.607		3855		2		0
Frame 2
273.234		230.802		3752		2		0
273.634		200.144		3751		2		0
274.099		169.89		3840		2		0
277.111		155.416		3710		2		0
258.362		179.534		3846		2		0
250.504		206.468		3887		2		0
247.516		229.636		3814		2		0
247.521		234.368		3807		2		0
290.156		181.666		3835		2		0
295.829		208.636		3910		2		0
299.18		231.322		3833		2		0
297.345		236.52		3823		2		0
265.866		230.487		3781		2		0
263.457		269.364		3863		2		0
267.803		304.638		3966		2		0
270.146		314.829		3959		2		0
280.571		231.128		3791		2		0
281.116		269.954		3850		2		0
276.783		305.638		3905		2		0
276.013		315.763		3848		2		0
273.977		177.422		3797		2		0
247.801		239.401		3821		2		0
251.084		235.751		3851		2		0
296.999		243.5		3850		2		0
293.666		237.835		0		2		0
Frame 3
273.233		230.798		3759		2		0
273.639		200.146		3751		2		0
274.121		169.912		3842		2		0
277.046		155.451		3721		2		0
258.36		179.546		3832		2		0
250.432		206.421		3891		2		0
247.315		229.584		3814		2		0
246.972		234.209		3816		2		0
290.126		181.671		3847		2		0
295.69		208.52		3905		2		0
298.184		231.287		3832		2		0
296.934		236.734		3839		2		0
265.867		230.487		3808		2		0
263.629		269.1		3868		2		0
267.902		304.041		3938		2		0
270.004		314.287		3884		2		0
280.568		231.107		3790		2		0
281.09		269.832		3875		2		0
276.264		305.281		3901		2		0
276.01		315.528		3858		2		0
273.994		177.437		3797		2		0
247.201		239.401		3831		2		0
250		236.75		3858		2		0
296.801		244.4		3841		2		0
293.6		237.9		3854		2		0
Frame 4
273.236		230.796		3772		2		0
273.633		200.141		3754		2		0
274.078		169.891		3833		2		0
277.025		155.451		3712		2		0
258.327		179.548		3809		2		0
250.26		206.797		3890		2		0
247.057		229.847		3811		2		0
246.419		233.887		3814		2		0
290.091		181.699		3861		2		0
295.595		208.68		3904		2		0
298.005		231.433		3814		2		0
296.898		236.068		3832		2		0
265.868		230.497		3777		2		0
263.649		268.998		3869		2		0
268.192		303.786		3933		2		0
269.195		311.999		3902		2		0
280.577		231.083		3801		2		0
280.919		269.484		3855		2		0
276.213		305.365		3918		1		0
275.887		315.63		3839		2		0
273.964		177.421		3788		2		0
247		239.251		3812		2		0
249.116		234.224		3821		2		0
296.799		243.401		3849		2		0
293.928		236.573		3867		2		0
Frame 5
273.17		230.755		3776		2		0
273.564		200.113		3744		2		0
273.999		169.879		3834		2		0
